scorename,epoch,tr_mae,tr_ev,tr_mse,tr_r2,tr_r,tr_p,val_mae,val_ev,val_mse,val_r2,val_r,val_p,loss
outcome,0,22.978886775672436,-0.001829096628594984,554.1321609671228,-20.267568816680903,-0.050860325746142104,0.17767402649866001,23.578342580795287,-0.0015714874915653265,582.568600344686,-20.910483636898935,-0.0482167456254078,0.6710383164284921,85.9395
outcome,1,5.989366257732565,0.1373920847808886,56.203398099124115,-1.1714720951484288,0.5148655451641438,6.518356984523642e-49,6.247755742073059,0.15363226520200135,56.906407878419444,-1.5176628092442517,0.5294014623003973,4.440543855941082e-07,78.72098
outcome,2,3.4036059135740455,0.247657717656397,21.33332952578545,0.18283358560637475,0.5547788541984118,4.559400107812702e-58,3.36864058971405,0.27950453930967323,21.033217066775933,0.17189785163617854,0.6243226192086491,6.09494677298603e-10,65.58344
outcome,3,5.654485632072795,0.30618012018716867,41.50648747816874,-0.5894379711938775,0.5761960420575418,1.632764853154472e-63,5.267151594161987,0.32742629723775607,38.093023018855455,-0.3050042737986034,0.6183261029014169,9.873888932940903e-10,29.612667
outcome,4,3.210014996203509,0.33099818256836777,18.74630780505586,0.28039676283599235,0.6022137401275304,1.075819300004099e-70,3.470595359802246,0.31694170674947164,20.841286929618672,0.1984417576522668,0.5969984584382704,5.07048017109984e-09,56.739292
outcome,5,3.0503269894556566,0.38634258814513767,15.96819278796314,0.38634036850585873,0.6304456293615088,2.835672002902159e-79,3.360873079299927,0.3625982076011638,17.62290622401906,0.3559960360451706,0.6192584851236089,9.166460005774459e-10,20.157352
outcome,6,3.030346003445712,0.38231913331935685,16.181532309548608,0.37739412434674147,0.6485527045765225,2.923166674177479e-85,3.104078197479248,0.4251210445162612,15.822085059315578,0.3959540852037048,0.7091290575320819,1.824289213058364e-13,34.515858
outcome,7,3.877434852448377,0.40415729024800495,26.29688303710191,-0.006613829278201644,0.665372707009991,3.3599487271704055e-91,4.393156671524048,0.3866140833369649,33.217722833155584,-0.12251947767719118,0.6879250563498595,1.7946482242713737e-12,44.375996
outcome,8,4.7394019717519935,0.43383192232544787,34.8405089786798,-0.3467952166745685,0.6751339747945089,7.908459878085042e-95,4.899008107185364,0.4084661047362991,38.23752136015496,-0.3806563772181901,0.6764312513767765,5.72530484341336e-12,71.333755
outcome,9,5.582108844410289,0.48494547919204034,43.96188187572891,-0.6853983500203511,0.7437721875719676,6.271933669263001e-125,6.215232944488525,0.38090978420722976,55.8425753850709,-0.9382600281677904,0.6770217512128629,5.400891837041105e-12,27.631016
outcome,10,9.448956977237355,0.5642609866355661,99.5756519281802,-2.8378853343847594,0.7675292058022587,1.0329444590823472e-137,8.858917474746704,0.46169917957924334,91.8574288679085,-2.119236835155455,0.7112851111098099,1.4294695884142786e-13,33.991753
outcome,11,4.7361285361376675,0.5608539893406954,28.527603544653402,-0.10225831074081904,0.7721017504143557,2.383035173445945e-140,4.614205074310303,0.4378438343698441,29.38975378226969,-0.04547046201880778,0.6876831321559815,1.8400168708856782e-12,35.78056
outcome,12,4.0041456764394585,0.5843490806306353,25.162274185001046,0.03303325205258689,0.7847500150539508,5.6260743234203265e-148,4.44796667098999,0.4356752915478723,32.735354599585754,-0.1877472415108712,0.6789952528383184,4.439916434043036e-12,15.942913
outcome,13,3.437333505262028,0.5942374462756033,16.35325835678832,0.3726870838358525,0.8198935384180447,3.400019059151792e-172,3.8354772329330444,0.414502228953063,19.564048872706962,0.14286114259313154,0.6747501243338413,6.754648756258023e-12,44.697266
outcome,14,4.657293900847435,0.6179655256631982,30.967086500753602,-0.19139100073158022,0.8248850735226251,4.592324931184623e-176,5.038464093208313,0.4510034793643267,37.771614202958474,-0.4775142285574032,0.6968358955375663,7.033649544025164e-13,27.881733
outcome,15,11.534196189858697,0.7513722399148977,139.49520182629084,-4.370851215678806,0.871127751403279,5.159388482584507e-219,11.33559832572937,0.4481881446573548,142.44713256552777,-4.62375714809265,0.6707816954072092,9.937037192122577e-12,20.647587
outcome,16,4.596659649502147,0.75244386809432,25.708669317993316,0.01203636374892103,0.8820234758821142,1.33845262502344e-231,4.900300407409668,0.5246018289659624,31.194459524318244,-0.06530745311692776,0.7446363773253957,2.42097661107883e-15,18.658321
outcome,17,3.3427161127328873,0.752801400875621,16.728481230049955,0.35683322145717955,0.8774978053588912,3.1627697018953867e-226,3.765301465988159,0.5447433192099668,24.314341093495933,0.15065441310432226,0.7517859873269523,9.296293877724158e-16,16.927782
outcome,18,7.314388711344112,0.719835495774673,60.809559755131616,-1.3308295629162399,0.8850281840411431,2.726666970001997e-235,7.657896661758423,0.4773179995280563,71.80597899171346,-1.8513894881118569,0.711741333576499,1.3571842833248014e-13,30.9334
outcome,19,4.934359526092356,0.7994163151988056,28.653421321324743,-0.10390390181098552,0.8972609687481673,1.8505460914611573e-251,5.1843149900436405,0.49865287283470516,35.16819122626625,-0.2918672291473916,0.7078370635862696,2.1091449447167172e-13,24.697695
outcome,20,3.6489874639294366,0.805791064163497,16.71872752935652,0.35877403602931446,0.9082648693925772,7.489734458586773e-268,4.372780513763428,0.45256417840794216,25.287519382884785,-0.04474713348250514,0.6760677312577046,5.934239717275699e-12,13.704186
outcome,21,2.019386949864301,0.8197118649906336,6.071751880884113,0.7673632456218373,0.9155283565061232,7.510361782862913e-280,3.295043206214905,0.45909700319910884,15.879927245828776,0.40987119106702363,0.6857337770268073,2.2480541397252175e-12,27.934458
outcome,22,1.8947950818321921,0.8312302838971091,6.0715843022525595,0.7670188362904222,0.9156926749348813,3.9069832270835905e-280,3.1936891078948975,0.41966455654506996,18.026851063199775,0.3219927717998351,0.6485568442244324,7.776187666144934e-11,18.244692
outcome,23,2.8260937847874383,0.8352135904111084,11.713081293565402,0.5506335703836194,0.9295445866123002,2.1029736555572728e-306,3.606634521484375,0.4181302868481822,23.894984696614394,0.05369166724131835,0.6554788579863959,4.17298474399015e-11,11.797028
outcome,24,3.9478963410312478,0.8462188377917188,19.540155862083147,0.25110305278784306,0.9360095863351674,1.4387e-320,4.494689464569092,0.4894390121346254,32.91637206024971,-0.20510079633001488,0.7182681596205766,6.388605417958418e-14,26.352032
outcome,25,2.3540987318212334,0.8785218068864329,7.544598045745219,0.7022824098908736,0.9378992128570995,0.0,3.548563575744629,0.5199495362534092,17.767957210556506,0.40474503595039435,0.727086902792115,2.2305043797697505e-14,12.732988
outcome,26,4.533556789159775,0.8585475003047839,24.224666193722275,0.06879518165214926,0.943162474118765,0.0,4.680399322509766,0.4730274901320204,35.32379664676282,-0.27901203830458177,0.7085253393668036,1.9524526524452733e-13,13.812798
outcome,27,6.395514849912036,0.8450560849190536,44.9102441698001,-0.7363284929309171,0.9364298961259757,1.53e-321,6.368425345420837,0.4949931020668529,54.94755217773407,-0.9282503320857016,0.7266230102206132,2.3598445061333576e-14,31.343891
outcome,28,2.956575793298808,0.8760965862949067,11.693235283700568,0.5481838224207054,0.946366727380084,0.0,3.6732726097106934,0.4855990261843328,23.928771311156197,0.1901752744623446,0.7187110706239499,6.065513558057084e-14,21.06035
outcome,29,4.976335138082504,0.8895786368542749,27.460860444869763,-0.05781330418851094,0.9463097018999114,0.0,5.1864262342453005,0.49595410136067974,35.36507920018416,-0.27143647750305755,0.7079216065658122,2.0892650506480685e-13,25.220753
outcome,30,2.86740766601129,0.8862555635956402,10.513272408991078,0.5968226642308161,0.9442146613013052,0.0,4.0053818941116335,0.47028791479370013,21.75770598411532,0.23538713240809628,0.6930300433776524,1.0537003515145274e-12,18.870224
outcome,31,1.2186654711311513,0.916055916391558,2.440490312335143,0.9060930015368226,0.957270765666011,0.0,2.860198903083801,0.4843745474990693,13.74757233790856,0.4550721550779704,0.6965811115842975,7.227981093267136e-13,13.601767
outcome,32,2.41274031996727,0.9197136502966229,7.606913801149445,0.707066401400309,0.9590203219089595,0.0,3.4669105291366575,0.526669005960786,20.972835108168557,0.2635134708047876,0.7295551590351012,1.6493187692705414e-14,12.02242
